iter	Passed	Remaining
0	0	430
1	1	537
2	1	493
3	1	466
4	2	447
5	2	430
6	2	421
7	3	416
8	3	411
9	4	405
10	4	401
11	4	398
12	5	394
13	5	392
14	5	390
15	6	390
16	6	388
17	7	386
18	7	385
19	7	383
20	8	382
21	9	416
22	11	494
23	13	533
24	13	542
25	14	543
26	14	536
27	15	546
28	16	540
29	16	534
30	16	528
31	17	522
32	17	517
33	18	516
34	18	511
35	18	507
36	19	503
37	19	500
38	20	496
39	20	492
40	20	489
41	21	486
42	21	483
43	22	479
44	22	474
45	22	471
46	24	489
47	26	523
48	26	521
49	27	523
50	28	528
51	28	525
52	29	520
53	29	516
54	29	513
55	30	510
56	30	511
57	31	515
58	32	512
59	32	509
60	32	504
61	33	502
62	33	499
63	33	496
64	34	494
65	34	491
66	35	490
67	35	487
68	35	484
69	36	482
70	36	480
71	37	478
72	37	478
73	40	505
74	41	512
75	42	516
76	43	516
77	44	520
78	44	520
79	44	515
80	45	512
81	45	510
82	45	507
83	46	505
84	46	503
85	47	500
86	47	498
87	47	496
88	48	494
89	48	491
90	49	489
91	49	487
92	49	485
93	50	482
94	50	480
95	50	478
96	51	476
97	51	474
98	52	477
99	54	493
100	55	497
101	56	501
102	57	499
103	58	504
104	59	505
105	59	502
106	59	500
107	60	498
108	60	496
109	61	495
110	61	493
111	62	492
112	62	490
113	62	488
114	63	486
115	63	485
116	64	483
117	64	482
118	64	480
119	65	478
120	65	477
121	66	475
122	67	483
123	70	496
124	71	498
125	71	497
126	72	495
127	72	493
128	73	493
129	73	493
130	74	491
131	74	489
132	74	487
133	75	486
134	75	486
135	76	487
136	77	486
137	77	485
138	78	483
139	78	481
140	78	480
141	79	480
142	79	478
143	80	477
144	81	480
145	83	485
146	84	488
147	85	489
148	85	489
149	86	487
150	86	486
151	86	484
152	87	486
153	88	484
154	88	483
155	88	481
156	89	479
157	89	478
158	90	477
159	90	476
160	91	474
161	91	473
162	91	472
163	92	471
164	92	470
165	93	470
166	94	472
167	95	474
168	97	479
169	97	477
170	98	478
171	99	476
172	99	475
173	100	476
174	101	477
175	101	475
176	102	474
177	102	472
178	102	471
179	103	470
180	103	468
181	103	467
182	104	466
183	104	464
184	105	463
185	105	461
186	105	459
187	106	458
188	106	456
189	106	455
190	107	453
191	107	452
192	107	450
193	108	449
194	108	448
195	110	452
196	112	457
197	112	456
198	113	457
199	114	456
200	115	457
201	115	456
202	115	455
203	116	453
204	117	455
205	117	453
206	118	452
207	118	451
208	118	450
209	119	449
210	119	447
211	120	446
212	120	445
213	120	444
214	121	442
215	121	441
216	122	440
217	122	439
218	122	438
219	123	438
220	124	438
221	125	440
222	126	439
223	126	438
224	126	437
225	127	435
226	127	434
227	128	433
228	128	432
229	128	431
230	129	430
231	129	429
232	129	427
233	130	426
234	130	425
235	131	424
236	131	422
237	131	421
238	132	420
239	132	419
240	132	418
241	133	417
242	133	416
243	133	414
244	134	413
245	134	412
246	134	411
247	135	410
248	135	409
249	136	408
250	136	407
251	136	406
252	138	407
253	140	411
254	141	411
255	141	411
256	142	411
257	142	410
258	143	410
259	143	409
260	144	408
261	144	407
262	145	406
263	145	405
264	145	404
265	146	403
266	146	402
267	146	401
268	147	400
269	147	398
270	147	397
271	148	396
272	148	395
273	148	394
274	149	393
275	149	392
276	150	391
277	150	390
278	150	389
279	151	388
280	151	387
281	152	388
282	154	390
283	155	392
284	156	392
285	156	391
286	157	392
287	158	391
288	159	391
289	159	391
290	160	390
291	160	389
292	161	389
293	161	388
294	161	387
295	162	386
296	162	385
297	163	384
298	163	383
299	163	382
300	164	381
301	164	380
302	165	379
303	165	378
304	165	377
305	166	377
306	168	380
307	169	381
308	170	380
309	170	380
310	171	379
311	171	378
312	171	377
313	172	376
314	172	375
315	173	374
316	173	374
317	174	373
318	174	372
319	174	371
320	175	370
321	175	369
322	175	368
323	176	367
324	176	366
325	177	366
326	177	365
327	177	364
328	178	363
329	178	363
330	179	362
331	179	361
332	179	360
333	180	359
334	180	358
335	182	359
336	184	362
337	185	362
338	185	361
339	186	361
340	186	360
341	186	359
342	187	359
343	188	358
344	188	358
345	188	357
346	189	356
347	189	355
348	190	354
349	190	353
350	190	352
351	191	351
352	191	351
353	191	350
354	192	349
355	192	348
356	192	347
357	193	346
358	193	345
359	194	345
360	194	344
361	194	343
362	195	342
363	196	344
364	198	345
365	198	344
366	199	343
367	199	342
368	200	343
369	201	343
370	202	342
371	202	342
372	203	341
373	203	340
374	203	339
375	204	339
376	204	338
377	205	337
378	205	336
379	205	335
380	206	334
381	206	334
382	206	333
383	207	332
384	207	331
385	208	330
386	208	330
387	208	329
388	209	328
389	212	331
390	213	332
391	214	332
392	214	331
393	215	331
394	216	332
395	217	331
396	217	330
397	218	329
398	218	329
399	218	328
400	219	327
401	219	326
402	219	325
403	220	325
404	220	324
405	221	323
406	221	322
407	221	322
408	222	321
409	222	320
410	223	319
411	223	319
412	224	318
413	225	319
414	227	320
415	228	320
416	229	321
417	230	320
418	230	319
419	231	319
420	231	318
421	231	317
422	232	316
423	232	315
424	232	315
425	233	314
426	233	313
427	233	312
428	234	312
429	234	311
430	235	310
431	235	309
432	235	308
433	236	308
434	236	307
435	237	306
436	237	305
437	237	305
438	238	304
439	239	304
440	240	305
441	241	305
442	241	304
443	242	303
444	243	303
445	243	302
446	244	302
447	244	301
448	245	301
449	245	300
450	246	299
451	246	298
452	246	298
453	247	297
454	247	296
455	248	295
456	248	295
457	248	294
458	249	293
459	249	293
460	250	292
461	250	291
462	250	290
463	251	290
464	251	289
465	251	288
466	252	288
467	253	287
468	254	287
469	255	287
470	255	286
471	255	286
472	256	285
473	256	284
474	257	284
475	257	283
476	257	282
477	258	282
478	258	281
479	259	280
480	259	279
481	259	279
482	260	278
483	260	277
484	260	277
485	261	276
486	261	275
487	262	275
488	262	274
489	262	273
490	263	272
491	263	272
492	263	271
493	264	270
494	264	270
495	265	269
496	265	268
497	265	268
498	266	267
499	266	266
500	268	267
501	268	266
502	269	266
503	270	265
504	271	265
505	271	265
506	272	264
507	272	264
508	273	263
509	273	262
510	273	262
511	274	261
512	274	260
513	275	260
514	275	259
515	275	258
516	276	258
517	276	257
518	277	256
519	277	256
520	277	255
521	278	254
522	278	254
523	279	253
524	279	252
525	279	252
526	281	252
527	282	252
528	283	252
529	284	251
530	284	251
