data	target
communications corp america nd qtr dec shr loss ct vs loss ct net loss mln vs loss mln revs mln vs mln six month shr loss ct vs loss ct net loss mln vs loss mln revs mln vs mln	earn
jacor lt jcor buy two denver radio station jacor communications inc say agree buy two denver radio station a.h . belo corp lt blc mln dlrs cash note jacor say two station koa koaq fm acquisition must approve federal communications commission jacor add	acq
systematics inc lt syst regular payout qtly div three ct vs three ct prior pay march record february	earn
central bancshare lt cbss st qtr net shr ct vs ct net mln vs asset billion vs billion deposit billion vs billion loan billion vs billion note full name company central bancshare south inc	earn
emhart corp lt emh qtly dividend qtly div ct vs ct prior payable march record march nine	earn
zambia expect sharply reduce maize crop zambia market maize production will probably fall less tonne may apr last year poor rainfall major produce area agriculture minister kingsley chinkuli say tell parliament southern province harvest pct level previous marketing year nation lucky produce seven mln bag tonne maize year state chinkuli add zambia set irrigation fund canadian aid lessen effect poor rainfall	grain
treasury baker pursue asian revaluation treasury secretary james baker tell house appropriations committee united states still press newly industrialize south asian nation tie currency dollar let currency strengthen dollar see strengthening currency much like say somewhat disappointed result far intend continue discussion say	money-fx
dome lt dmp repeats dome mine lt dm stake sale dome petroleum ltd pct stake gold producer dome mines ltd continue sale right price spokesman david annesley say response inquiry reaffirming remark make last year chairman howard macdonald annesley say company consider sell stake dome mine concern dome petroleum pct stake lt encor energy corp ltd annesley say encor strategic investment dome intention sell dome spokesman annesley say answer question aware negotiation now way toward sale dome petroleum mln dome mine share also decline specify price company consider sell share clearly today price dlrs share dome mine stock attractive annesley comment consider sale right price time share price around nine dlrs add price around dlrs share consider fairly attractive annesley say annesley also dome petroleum may able sell dome mine share premium market price might opportunity pick premium virtually control block dome mine say dome mine share trade early dlrs toronto stock exchange dome petroleum now negotiate plan restructure debt billion canadian dlrs group major creditor include dome mine encor energy company previously say expect detail plan lender early next week	acq
transnational industry lt trsl see loss transnational industries inc say due continue manufacturing difficulty alloytek inc jet engine component subsidiary expect report net loss dlrs ct per share fourth quarter end january say revenue period mln dlrs even year early full fiscal year company say earn dlrs ct per share dlrs ct per share year company say unexpectedly large volume customer inquiry spitz inc simulation product subsidiary cause high expect business development outlay company say expect significant contract award spitz later year say start implement plan progressively reduce manufacturing cost alloytek next several quarter company say may move alloytek plant grandville mich low labor cost area company say discover extent alloytek problem year end review subcontract related work progress production jet engine component general electric co lt ge say will release annual result around april	earn
arco lt arc say net cover dividend payout atlantic richfield oil co say expect first quarter net income cover dividend requirement quarter company pay quarterly dividend one dlr share early month	earn
dresser industry lt di see return profit dresser industries inc say expect joint venture enter gradual improvement energy market allow regain profitability end current year dresser earn dlrs year end october mln dlr gain change accounting pension plan curtailment mln dlr writedown oilfield asset	earn
chrysler say amc holder get chrysler stock worth four dlrs share buyout plan chrysler say amc holder get chrysler stock worth four dlrs share buyout plan	acq
george wimpey say benefit restructuring see george wimpey plc lt wmpy say outlook look encouraging company realise continue benefit restructure say overall financial position show improvement reshaping u.k . business clearly define activity related division successfully achieve wimpey comment statement result show pretax profit pct mln stg group good overall year north america company say statement	earn
